Account number,Effective Date,Transaction Date,Description,Transaction Code,Particulars,Code,Reference,Other Party Name,Other Party Account Number,Other Party Particulars,Other Party Code,Other Party Reference,Amount,Balance
12-3456-0789012-00,2026-04-28,2026-04-29,POS W/D CLOUDSTORE.COM/BILL SYDNEY AU (INC. $0.18 INTERNATIONAL TRANSACTION FEE) CLOUDSTORE.COM/BILL SYDNEY,EFTPOS PURCHASE,,,,,,,,,-10.17,847.54
12-3456-0789012-00,2026-04-30,2026-04-30,AP#00000000 TO HARBOUR PROPERTY GROUP RSMB000001 Rent 17 Sample Ave,DIRECT DEBIT,RSMB000001,Rent,17 Sample Ave,HARBOUR PROPERTY GROUP,12-4567-0023456-04,RSMB000001,Other,17 Sample Ave,-550.00,297.54
12-3456-0789012-00,2026-04-29,2026-04-30,DONATION TO GLOBAL AID WHANGAREI,EFTPOS PURCHASE,,,,,,,,,-20.00,277.54
12-3456-0789012-00,2026-04-30,2026-04-30,TRANSFER FROM A N OTHER - 01,CREDIT TRANSFER,,,,A N OTHER,12-3456-0789012-01,,,,750.00,1027.54
12-3456-0789012-00,2026-04-30,2026-05-01,THE LOCAL PANMURE AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-13.50,1014.04
12-3456-0789012-00,2026-04-30,2026-05-01,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-10.00,1004.04
12-3456-0789012-00,2026-05-01,2026-05-01,POS W/D 5.00USD @ 0.5814 conversion rate (INC. $0.16 INTERNATIONAL TRANSACTION FEE) NETWORKHUB TORONTO,EFTPOS PURCHASE,,,,,,,,,-8.76,995.28
12-3456-0789012-00,2026-05-01,2026-05-02,HARBOUR CAFE AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-8.50,986.78
12-3456-0789012-00,2026-04-30,2026-05-02,CITY TRANSPORT AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-3.00,983.78
12-3456-0789012-00,2026-04-30,2026-05-02,MOBILENET PREPAID (3) AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-32.00,951.78
12-3456-0789012-00,2026-05-04,2026-05-05,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-11.00,940.78
12-3456-0789012-00,2026-05-06,2026-05-06,PAY L N MORRISON Pizza,DEBIT TRANSFER,Pizza,,,L N MORRISON,38-9009-0461330-00,Pizza,,,-9.25,931.53
12-3456-0789012-00,2026-05-06,2026-05-06,PAY D WILSON Pizza,DIRECT DEBIT,Pizza,,,D WILSON,03-1568-0109505-00,Pizza,,,-16.25,915.28
12-3456-0789012-00,2026-05-05,2026-05-06,HARBOUR CAFE AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-8.50,906.78
12-3456-0789012-00,2026-05-06,2026-05-06,POS W/D 15.60USD @ 0.5856 conversion rate (INC. $0.49 INTERNATIONAL TRANSACTION FEE) WEBFAST CDN WEBFAST.COCA,EFTPOS PURCHASE,,,,,,,,,-27.13,879.65
12-3456-0789012-00,2026-05-06,2026-05-07,POS W/D 6.70USD @ 0.5857 conversion rate (INC. $0.21 INTERNATIONAL TRANSACTION FEE) CLOUDSTORAGE INC CLOUDSTORAGE.COMCA,EFTPOS PURCHASE,,,,,,,,,-11.65,868
12-3456-0789012-00,2026-05-07,2026-05-07,AP#00000000 TO HARBOUR PROPERTY GROUP RSMB000001 Rent 17 Sample Ave,DIRECT DEBIT,RSMB000001,Rent,17 Sample Ave,HARBOUR PROPERTY GROUP,12-4567-0023456-04,RSMB000001,Other,17 Sample Ave,-550.00,318
12-3456-0789012-00,2026-05-07,2026-05-07,RIDESHARE *TRIP HELP.RIDESHARE.COChristchurch,EFTPOS PURCHASE,,,,,,,,,-9.24,308.76
12-3456-0789012-00,2026-05-07,2026-05-07,TRANSFER FROM A N OTHER - 01,CREDIT TRANSFER,,,,A N OTHER,12-3456-0789012-01,,,,750.00,1058.76
12-3456-0789012-00,2026-05-07,2026-05-08,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-2.00,1056.76
12-3456-0789012-00,2026-05-07,2026-05-08,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-12.00,1044.76
12-3456-0789012-00,2026-05-07,2026-05-08,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-5.50,1039.26
12-3456-0789012-00,2026-05-07,2026-05-08,THE LOCAL PANMURE AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-13.50,1025.76
12-3456-0789012-00,2026-05-08,2026-05-08,POS W/D THE BOTTLE SHOP -16:50,EFTPOS PURCHASE,,,,,,,,,-10.49,1015.27
12-3456-0789012-00,2026-05-09,2026-05-09,FRESH MART HIGHLAND PARK,EFTPOS PURCHASE,,,,,,,,,-73.62,941.65
12-3456-0789012-00,2026-05-07,2026-05-09,CITY TRANSPORT AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-3.00,938.65
12-3456-0789012-00,2026-05-08,2026-05-09,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-2.50,936.15
12-3456-0789012-00,2026-05-08,2026-05-09,HARBOUR CAFE AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-10.00,926.15
12-3456-0789012-00,2026-05-09,2026-05-11,CITY TRANSPORT AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-6.00,920.15
12-3456-0789012-00,2026-05-11,2026-05-12,HARBOUR CAFE AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-8.50,911.65
12-3456-0789012-00,2026-05-11,2026-05-12,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-4.50,907.15
12-3456-0789012-00,2026-05-12,2026-05-13,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-10.00,897.15
12-3456-0789012-00,2026-05-11,2026-05-13,CITY TRANSPORT AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-3.00,894.15
12-3456-0789012-00,2026-05-12,2026-05-13,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-2.50,891.65
12-3456-0789012-00,2026-05-14,2026-05-14,AP#00000000 TO HARBOUR PROPERTY GROUP RSMB000001 Rent 17 Sample Ave,DIRECT DEBIT,RSMB000001,Rent,17 Sample Ave,HARBOUR PROPERTY GROUP,12-4567-0023456-04,RSMB000001,Other,17 Sample Ave,-550.00,341.65
12-3456-0789012-00,2026-05-15,2026-05-14,TRANSFER FROM A N OTHER - 01,CREDIT TRANSFER,,,,A N OTHER,12-3456-0789012-01,,,,550.00,891.65
12-3456-0789012-00,2026-05-15,2026-05-14,TRANSFER FROM A N OTHER - 01,CREDIT TRANSFER,,,,A N OTHER,12-3456-0789012-01,,,,200.00,1091.65
12-3456-0789012-00,2026-05-14,2026-05-15,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-2.00,1089.65
12-3456-0789012-00,2026-05-14,2026-05-15,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-12.00,1077.65
12-3456-0789012-00,2026-05-16,2026-05-16,FRESH MART HIGHLAND PARK,EFTPOS PURCHASE,,,,,,,,,-126.10,951.55
12-3456-0789012-00,2026-05-15,2026-05-16,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-2.00,949.55
12-3456-0789012-00,2026-05-15,2026-05-16,HARBOUR CAFE AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-11.50,938.05
12-3456-0789012-00,2026-05-16,2026-05-18,CITY TRANSPORT AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-6.00,932.05
12-3456-0789012-00,2026-05-18,2026-05-18,PAY MR A N OTHER Credit Card,DIRECT DEBIT,Credit Card,,,MR A N OTHER,12-9876-0054321-50,Credit Card,,,-10.00,922.05
12-3456-0789012-00,2026-05-19,2026-05-19,Salary ACME INDUSTRIES LTD NZD,DIRECT CREDIT,,,,ACME INDUSTRIES LTD NZD,01-2345-0087654-00,,,,4288.57,5210.62
12-3456-0789012-00,2026-05-19,2026-05-19,PAY A N OTHER,DIRECT DEBIT,,,,A N OTHER,04-5678-0032109-51,,,,-150.00,5060.62
12-3456-0789012-00,2026-05-19,2026-05-19,TRANSFER TO A N OTHER - 01,DEBIT TRANSFER,,,,A N OTHER,12-3456-0789012-01,,,,-4060.62,1000
12-3456-0789012-00,2026-05-21,2026-05-21,AP#00000000 TO HARBOUR PROPERTY GROUP RSMB000001 Rent 17 Sample Ave,DIRECT DEBIT,RSMB000001,Rent,17 Sample Ave,HARBOUR PROPERTY GROUP,12-4567-0023456-04,RSMB000001,Other,17 Sample Ave,-550.00,450
12-3456-0789012-00,2026-05-20,2026-05-21,CIVIC SOCIETY AOTEAROA TE ARO,EFTPOS PURCHASE,,,,,,,,,-10.00,440
12-3456-0789012-00,2026-05-21,2026-05-21,TRANSFER FROM A N OTHER - 01,CREDIT TRANSFER,,,,A N OTHER,12-3456-0789012-01,,,,560.00,1000
12-3456-0789012-00,2026-05-22,2026-05-23,RIDESHARE *EATS HELP.RIDESHARE.COChristchurch,EFTPOS PURCHASE,,,,,,,,,-46.05,953.95
12-3456-0789012-00,2026-05-24,2026-05-24,FRESH MART HIGHLAND PARK,EFTPOS PURCHASE,,,,,,,,,-81.42,872.53
12-3456-0789012-00,2026-05-24,2026-05-25,SP SHOPONLINE.CO.NZ KILBIRNIE,EFTPOS PURCHASE,,,,,,,,,-70.00,802.53
12-3456-0789012-00,2026-05-23,2026-05-25,MOBILENET PREPAID (3) AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-11.99,790.54
12-3456-0789012-00,2026-05-25,2026-05-26,CITY TRANSPORT AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-6.00,784.54
12-3456-0789012-00,2026-05-25,2026-05-26,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-2.00,782.54
12-3456-0789012-00,2026-05-25,2026-05-26,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-12.60,769.94
12-3456-0789012-00,2026-05-25,2026-05-27,POS W/D 793JPY @ 92.8571 conversion rate (INC. $0.16 INTERNATIONAL TRANSACTION FEE) CLOUDSTORE DOWNLOADS TOKYO,EFTPOS PURCHASE,,,,,,,,,-8.70,761.24
12-3456-0789012-00,2026-05-26,2026-05-27,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-2.50,758.74
12-3456-0789012-00,2026-05-28,2026-05-28,AP#00000000 TO HARBOUR PROPERTY GROUP RSMB000001 Rent 17 Sample Ave,DIRECT DEBIT,RSMB000001,Rent,17 Sample Ave,HARBOUR PROPERTY GROUP,12-4567-0023456-04,RSMB000001,Other,17 Sample Ave,-550.00,208.74
12-3456-0789012-00,2026-05-27,2026-05-28,DONATION TO GLOBAL AID WHANGAREI,EFTPOS PURCHASE,,,,,,,,,-20.00,188.74
12-3456-0789012-00,2026-05-27,2026-05-28,POS W/D CLOUDSTORE.COM/BILL SYDNEY AU (INC. $0.31 INTERNATIONAL TRANSACTION FEE) CLOUDSTORE.COM/BILL SYDNEY,EFTPOS PURCHASE,,,,,,,,,-17.30,171.44
12-3456-0789012-00,2026-05-28,2026-05-28,TRANSFER FROM A N OTHER - 01,CREDIT TRANSFER,,,,A N OTHER,12-3456-0789012-01,,,,750.00,921.44
12-3456-0789012-00,2026-05-28,2026-05-29,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-2.00,919.44
12-3456-0789012-00,2026-05-28,2026-05-29,HARBOUR CAFE AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-21.00,898.44
12-3456-0789012-00,2026-05-29,2026-05-29,Salary SAL & WAGES   ACME INDUSTRIES LTD NZD Ref: SAL & WAGES ACME INDUSTRIES LTD NZD,DIRECT CREDIT,SAL & WAGES,,,ACME INDUSTRIES LTD NZD,01-2345-0087654-00,,,,742.79,1641.23
12-3456-0789012-00,2026-05-29,2026-05-29,TRANSFER TO A N OTHER - 01,DEBIT TRANSFER,,,,A N OTHER,12-3456-0789012-01,,,,-628.83,1012.4
12-3456-0789012-00,2026-05-29,2026-05-30,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-3.90,1008.5
12-3456-0789012-00,2026-05-29,2026-05-30,HARBOUR CAFE AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-8.50,1000
12-3456-0789012-00,2026-05-31,2026-05-31,FRESH MART HIGHLAND PARK,EFTPOS PURCHASE,,,,,,,,,-79.89,920.11
12-3456-0789012-00,2026-06-01,2026-06-01,POS W/D 5.00USD @ 0.5924 conversion rate (INC. $0.16 INTERNATIONAL TRANSACTION FEE) NETWORKHUB TORONTO,EFTPOS PURCHASE,,,,,,,,,-8.60,911.51
12-3456-0789012-00,2026-05-31,2026-06-02,CITY TRANSPORT AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-3.00,908.51
12-3456-0789012-00,2026-05-31,2026-06-02,MOBILENET PREPAID (3) AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-34.00,874.51
12-3456-0789012-00,2026-06-02,2026-06-03,HARBOUR CAFE AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-3.00,871.51
12-3456-0789012-00,2026-06-02,2026-06-03,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-22.00,849.51
12-3456-0789012-00,2026-06-04,2026-06-04,AP#00000000 TO HARBOUR PROPERTY GROUP RSMB000001 Rent 17 Sample Ave,DIRECT DEBIT,RSMB000001,Rent,17 Sample Ave,HARBOUR PROPERTY GROUP,12-4567-0023456-04,RSMB000001,Other,17 Sample Ave,-550.00,299.51
12-3456-0789012-00,2026-06-04,2026-06-04,TRANSFER FROM A N OTHER - 01,CREDIT TRANSFER,,,,A N OTHER,12-3456-0789012-01,,,,750.00,1049.51
12-3456-0789012-00,2026-06-05,2026-06-06,HARBOUR CAFE AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-8.50,1041.01
12-3456-0789012-00,2026-06-06,2026-06-07,POS W/D 7.84USD @ 0.5786 conversion rate (INC. $0.25 INTERNATIONAL TRANSACTION FEE) CLOUDSTORAGE INC CLOUDSTORAGE.COMCA,EFTPOS PURCHASE,,,,,,,,,-13.80,1027.21
12-3456-0789012-00,2026-06-07,2026-06-07,FRESH MART HIGHLAND PARK,EFTPOS PURCHASE,,,,,,,,,-76.22,950.99
12-3456-0789012-00,2026-06-07,2026-06-08,POS W/D CLOUDSTORE.COM/BILL SYDNEY AU (INC. $0.18 INTERNATIONAL TRANSACTION FEE) CLOUDSTORE.COM/BILL SYDNEY,EFTPOS PURCHASE,,,,,,,,,-9.74,941.25
12-3456-0789012-00,2026-06-08,2026-06-09,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-12.00,929.25
12-3456-0789012-00,2026-06-07,2026-06-09,CITY TRANSPORT AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-3.00,926.25
12-3456-0789012-00,2026-06-09,2026-06-10,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-9.00,917.25
12-3456-0789012-00,2026-06-11,2026-06-11,AP#00000000 TO HARBOUR PROPERTY GROUP RSMB000001 Rent 17 Sample Ave,DIRECT DEBIT,RSMB000001,Rent,17 Sample Ave,HARBOUR PROPERTY GROUP,12-4567-0023456-04,RSMB000001,Other,17 Sample Ave,-550.00,367.25
